"","Week","Population","Treatment","Phase","mean_chl","mean_cond","mean_etrm"
"57",4,"Kahanahaiki","C","Pre-Recovery",31.66,576.31,154.976
"58",4,"Kahanahaiki","PD","Pre-Recovery",32.5142857142857,107.428571428571,92.8285714285714
"59",4,"Keaau","C","Treatment",19.9,229.93,130.88
"60",4,"Keaau","PD","Treatment",35.14,96.49,104.8135
"61",4,"Kealia","C","Treatment",25.57,629.75,152.7837
"62",4,"Kealia","PD","Treatment",33.5666666666667,244.555555555556,129.193666666667
"63",4,"Koko","C","Treatment",27.2583333333333,642.916666666667,166.62075
"64",4,"Koko","PD","Treatment",32.1083333333333,166.216666666667,102.58925
"65",4,"Makaha","C","Treatment",30.22,253.8,241.8804
"66",4,"Makaha","PD","Treatment",29.65,125.075,156.676625
"67",4,"Ohikilolo1","C","Pre-Recovery",26.8818181818182,560.836363636364,157.671754545455
"68",4,"Ohikilolo1","PD","Pre-Recovery",26.82,37.38,241.471625
"69",4,"Ohikilolo2","C","Treatment",32.66,552.92,201.7126
"70",4,"Ohikilolo2","PD","Treatment",33.47,189.11,135.3851
"71",4,"Saddle","C","Pre-Recovery",30.7,543.575,197.5145
"72",4,"Saddle","PD","Pre-Recovery",25.775,98.875,111.604
"73",5,"Ekahanui","C","Mid-Recovery",21.3,504.888888888889,236.673444444444
"74",5,"Ekahanui","PD","Mid-Recovery",24.6,445.15,131.1185
"75",5,"Kahanahaiki","C","Mid-Recovery",30.06,528.48,321.9652
"76",5,"Kahanahaiki","PD","Mid-Recovery",34.3,211.516666666667,253.26
"77",5,"Keaau","C","Treatment",31.76,862.65,195.7668
"78",5,"Keaau","PD","Treatment",34.9222222222222,276.377777777778,131.971888888889
"79",5,"Kealia","C","Treatment",25.26,600.4,169.7683
"80",5,"Kealia","PD","Treatment",38.775,132.85,131.80475
"81",5,"Koko","C","Treatment",31.5,656.833333333333,161.480166666667
"82",5,"Koko","PD","Treatment",34.475,143.233333333333,91.385
"83",5,"Makaha","C","Pre-Recovery",31.97,691.74,398.0188
"84",5,"Makaha","PD","Pre-Recovery",27.8142857142857,120.385714285714,148.876571428571
"85",5,"Ohikilolo1","C","Mid-Recovery",23.6818181818182,771.054545454545,135.729090909091
"86",5,"Ohikilolo1","PD","Mid-Recovery",19.4666666666667,220,103.33175
"87",5,"Ohikilolo2","C","Pre-Recovery",31.17,606.8,143.67525
"88",5,"Ohikilolo2","PD","Pre-Recovery",34.7444444444444,133.044444444444,110.424
"89",5,"Saddle","C","Mid-Recovery",26.2,543.2,153.789
"90",5,"Saddle","PD","Mid-Recovery",20.9,281.933333333333,205.198666666667
"91",6,"Ekahanui","C","Post-Recovery",18.3444444444444,479.877777777778,288.653142857143
"92",6,"Ekahanui","PD","Post-Recovery",24.7,469.75,372.168
"93",6,"Kahanahaiki","C","Post-Recovery",29.61,487.36,318.678111111111
"94",6,"Kahanahaiki","PD","Post-Recovery",36.3833333333333,430.516666666667,395.906166666667
"95",6,"Keaau","C","Pre-Recovery",31.72,688.59,NA
"96",6,"Keaau","PD","Pre-Recovery",39.525,120.7625,NA
"97",6,"Kealia","C","Pre-Recovery",33.37,337.55,311.7867
"98",6,"Kealia","PD","Pre-Recovery",36.7333333333333,65.5833333333333,221.4125
"99",6,"Koko","C","Treatment",35.3916666666667,838.966666666667,180.647416666667
"100",6,"Koko","PD","Treatment",32.2333333333333,93.7,72.8232
"101",6,"Makaha","C","Mid-Recovery",32.23,501.88,388.4034
"102",6,"Makaha","PD","Mid-Recovery",26.9,313.183333333333,1226.77366666667
"103",6,"Ohikilolo1","C","Post-Recovery",25.7909090909091,543.845454545455,152.669545454545
"104",6,"Ohikilolo1","PD","Post-Recovery",28.85,555.7,183.882333333333
"105",6,"Ohikilolo2","C","Mid-Recovery",28.6,342.99,371.2651
"106",6,"Ohikilolo2","PD","Mid-Recovery",36.0375,370.575,425.312
"107",6,"Saddle","C","Post-Recovery",20.675,377.725,140.037
"108",6,"Saddle","PD","Post-Recovery",26.2333333333333,344.966666666667,212.825333333333
"109",7,"Keaau","C","Mid-Recovery",31.6444444444444,378.933333333333,219.528555555556
"110",7,"Keaau","PD","Mid-Recovery",35.2571428571429,428.5,299.629571428571
"111",7,"Kealia","C","Mid-Recovery",27.6888888888889,721.688888888889,333.659333333333
"112",7,"Kealia","PD","Mid-Recovery",38.0666666666667,670.166666666667,404.929
"113",7,"Koko","C","Pre-Recovery",33.3416666666667,568.716666666667,172.315416666667
"114",7,"Koko","PD","Pre-Recovery",20.3777777777778,28.6571428571429,132.416
"115",7,"Makaha","C","Post-Recovery",22.87,556.11,343.9531
"116",7,"Makaha","PD","Post-Recovery",32.1166666666667,375.366666666667,298.037333333333
"117",7,"Ohikilolo2","C","Post-Recovery",31.54,601.77,439.1031
"118",7,"Ohikilolo2","PD","Post-Recovery",34.975,679.325,424.19375
"119",8,"Keaau","C","Post-Recovery",33.375,492.0875,355.59075
"120",8,"Keaau","PD","Post-Recovery",32.2571428571429,534.414285714286,408.793
"121",8,"Kealia","C","Post-Recovery",29.9777777777778,584.133333333333,458.18275
"122",8,"Kealia","PD","Post-Recovery",28.1833333333333,575.066666666667,384.844
"123",8,"Koko","C","Mid-Recovery",32.5583333333333,488.6,160.506416666667
"124",8,"Koko","PD","Mid-Recovery",25.4,155.1,142.056
"125",9,"Koko","C","Post-Recovery",31.4,557.066666666667,140.90825
"126",9,"Koko","PD","Post-Recovery",33.3,295.6,80.701
